Event	ID	Name			Wwise Object Path	Notes
	23871016	Train_Door			\Default Work Unit\Train\Train_Door	
	827624077	Heartbeat_Loop_Play			\Default Work Unit\Foley\Heartbeat_Loop_Play	
	1620715987	Creature_Slam_ChainLinkFence			\Default Work Unit\Creatures\Creature_Slam_ChainLinkFence	
	1906809868	Creatrure_Hostile_Play			\Default Work Unit\Creatures\Creatrure_Hostile_Play	
	1944818395	Heartbeat_Loop_Stop			\Default Work Unit\Foley\Heartbeat_Loop_Stop	
	2546199283	LIDAR_On			\Default Work Unit\Lidar\LIDAR_On	
	3169131063	Creature_Ambient_Call_Play			\Default Work Unit\Creatures\Creature_Ambient_Call_Play	
	3752742194	Creature_Attack_Play			\Default Work Unit\Creatures\Creature_Attack_Play	
	3832211783	LIDAR_Off			\Default Work Unit\Lidar\LIDAR_Off	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	29389361	Creature_Ambient_01	C:\Users\ccoop\Train Station\Train Station_WwiseProject\.cache\40\{4082C848-944C-D136-AB87-4C7F5237EF13}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Spiders\Spiders\Creature_Ambient_Call\Creature_Ambient_01		428896
	105111215	Lidar_Switch_On-006	C:\Users\ccoop\Train Station\Train Station_WwiseProject\.cache\DC\{DC3D7F16-99D1-C7A8-3491-5963F0D94B58}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lidar\Lidar\Lidar_Switch_On\Lidar_Switch_On-006		801424
	156665579	Train_Doors-004	C:\Users\ccoop\Train Station\Train Station_WwiseProject\.cache\DC\{DC311020-5E19-E305-5613-1851CAE098D3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Train\Train_Doors\Train_Doors-004		264696
	165495547	Lida_Switch_Off-002	C:\Users\ccoop\Train Station\Train Station_WwiseProject\.cache\8E\{8E4D5AA2-5CBC-174C-C75E-F0507165F544}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lidar\Lidar\Lidar_Switch_Off\Lida_Switch_Off-002		735276
	169465399	Lidar_Scan_Loop	C:\Users\ccoop\Train Station\Train Station_WwiseProject\.cache\30\{3077E853-1FA6-F8E8-521A-32C027CC3DBE}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lidar\Lidar\Lidar_Scan_Loop		6186276
	177441948	Train_Doors-005	C:\Users\ccoop\Train Station\Train Station_WwiseProject\.cache\50\{504A9A81-8820-0FBA-E02A-007FF2411BBF}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Train\Train_Doors\Train_Doors-005		184766
	200535146	Train_Doors-006	C:\Users\ccoop\Train Station\Train Station_WwiseProject\.cache\E6\{E66E38BF-8725-2D65-A238-23F94755EC7F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Train\Train_Doors\Train_Doors-006		168228
	224829378	Creature_Ambient_02	C:\Users\ccoop\Train Station\Train Station_WwiseProject\.cache\A9\{A9EF3931-60CE-5AA9-1749-6FF3D43761CD}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Spiders\Spiders\Creature_Ambient_Call\Creature_Ambient_02		601696
	227419785	Train_Doors-001	C:\Users\ccoop\Train Station\Train Station_WwiseProject\.cache\C0\{C01E86FC-257C-DB1B-0026-7DD9676A109D}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Train\Train_Doors\Train_Doors-001		204060
	264432289	Lidar_Switch_On-007	C:\Users\ccoop\Train Station\Train Station_WwiseProject\.cache\9F\{9FCD78B4-C297-488F-7862-9534F374757C}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Lidar\Lidar\Lidar_Switch_On\Lidar_Switch_On-007		821384
